Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,Time (Intervals),Date (Intervals),Age (Intervals)
1,1,1/16/2012,1540,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,64,Bus or coach (17 or more passenger seats),1200-1559,January,60 - 69
1,1,1/16/2012,900,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,35,Car,800-1159,January,30 - 39
3,2,1/17/2012,609,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Car,400-759,January,20 - 29
3,2,1/17/2012,609,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,45,Car,400-759,January,40 - 49
1,1,1/17/2012,810,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,13,Car,800-1159,January,10 - 19
1,1,1/17/2012,1625,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,41,Car,1600-1959,January,40 - 49
2,1,1/17/2012,909,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Car,800-1159,January,30 - 39
2,1,1/18/2012,700,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Serious,Male,51,Pedal cycle,400-759,January,50 - 59
1,2,1/18/2012,1110,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,20,Motorcycle over 125cc and up to 500cc,800-1159,January,20 - 29
1,2,1/18/2012,1110,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,24,Motorcycle over 125cc and up to 500cc,800-1159,January,20 - 29
2,1,1/18/2012,1513,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,49,Car,1200-1559,January,40 - 49
1,1,1/18/2012,1745,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,80,Car,1600-1959,January,80- 89
1,1,1/18/2012,835,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,12,Car,800-1159,January,10 - 19
2,1,1/19/2012,845,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,35,Motorcycle over 50cc and up to 125cc,800-1159,January,30 - 39
2,1,1/19/2012,1007,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,51,Car,800-1159,January,50 - 59
1,1,1/19/2012,1420,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,45,Car,1200-1559,January,40 - 49
1,1,1/19/2012,1315,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,79,Car,1200-1559,January,70 - 79
2,1,1/19/2012,1255,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,0,Car,1200-1559,January,0 - 9
1,1,1/19/2012,1435,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,82,Bus or coach (17 or more passenger seats),1200-1559,January,80- 89
1,1,1/19/2012,1750,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,49,Taxi/Private hire car,1600-1959,January,40 - 49
1,1,1/19/2012,1215,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,46,Car,1200-1559,January,40 - 49
2,1,1/20/2012,752,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,25,Pedal cycle,400-759,January,20 - 29
2,1,1/20/2012,1215,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,89,Bus or coach (17 or more passenger seats),1200-1559,January,80- 89
2,2,1/20/2012,845,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,72,Car,800-1159,January,70 - 79
2,2,1/20/2012,845,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,30,Car,800-1159,January,30 - 39
2,1,1/20/2012,1218,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,57,Car,1200-1559,January,50 - 59
2,1,1/20/2012,1635,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Male,21,Pedal cycle,1600-1959,January,20 - 29
2,1,1/20/2012,1710,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Female,48,Pedal cycle,1600-1959,January,40 - 49
2,2,1/20/2012,2024,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,64,Car,2000-2359,January,60 - 69
2,2,1/20/2012,2024,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,44,Car,2000-2359,January,40 - 49
2,3,1/20/2012,405,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,21,Car,400-759,January,20 - 29
2,3,1/20/2012,405,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,49,Taxi/Private hire car,400-759,January,40 - 49
2,3,1/20/2012,405,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,19,Taxi/Private hire car,400-759,January,10 - 19
1,2,1/21/2012,35,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Serious,Male,20,Car,0-359,January,20 - 29
1,2,1/21/2012,35,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,28,Car,0-359,January,20 - 29
2,2,1/21/2012,1749,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,32,Car,1600-1959,January,30 - 39
2,2,1/21/2012,1749,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,32,Car,1600-1959,January,30 - 39
2,1,1/21/2012,1840,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,44,Car,1600-1959,January,40 - 49
2,1,1/21/2012,1800,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Female,24,Car,1600-1959,January,20 - 29
1,1,1/22/2012,1138,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,54,Car,800-1159,January,50 - 59
2,3,1/22/2012,1810,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24,Car,1600-1959,January,20 - 29
2,3,1/22/2012,1810,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,35,Car,1600-1959,January,30 - 39
2,3,1/22/2012,1810,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,44,Car,1600-1959,January,40 - 49
3,2,1/27/2012,828,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,10,Car,800-1159,January,10 - 19
2,1,1/27/2012,916,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,63,Goods vehicle 3.5 tonnes mgw and under,800-1159,January,60 - 69
1,1,1/27/2012,1310,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,70,Bus or coach (17 or more passenger seats),1200-1559,January,70 - 79
3,2,1/27/2012,1815,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,40,Car,1600-1959,January,40 - 49
3,2,1/27/2012,1815,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,31,Car,1600-1959,January,30 - 39
3,1,1/27/2012,1635,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,49,Car,1600-1959,January,40 - 49
1,1,1/27/2012,2255,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Female,43,Car,2000-2359,January,40 - 49
2,1,1/27/2012,1800,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,39,Car,1600-1959,January,30 - 39
2,1,1/27/2012,1513,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,28,Car,1200-1559,January,20 - 29
2,1,1/27/2012,1205,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,Car,1200-1559,January,30 - 39
1,1,1/28/2012,1400,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,61,Bus or coach (17 or more passenger seats),1200-1559,January,60 - 69
2,1,1/28/2012,1626,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car,1600-1959,January,20 - 29
2,3,1/28/2012,1448,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Bus or coach (17 or more passenger seats),1200-1559,January,40 - 49
2,3,1/28/2012,1448,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,51,Goods vehicle 3.5 tonnes mgw and under,1200-1559,January,50 - 59
2,3,1/28/2012,1448,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,21,Goods vehicle 3.5 tonnes mgw and under,1200-1559,January,20 - 29
3,1,1/28/2012,1900,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,25,Car,1600-1959,January,20 - 29
1,1,1/29/2012,1120,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,19,Car,800-1159,January,10 - 19
1,1,1/29/2012,2300,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,23,Taxi/Private hire car,2000-2359,January,20 - 29
1,1,1/30/2012,130,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,15,M/cycle 50cc and under,0-359,January,10 - 19
1,1,1/30/2012,1400,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,33,Bus or coach (17 or more passenger seats),1200-1559,January,30 - 39
1,1,1/30/2012,1530,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,51,Car,1200-1559,January,50 - 59
2,1,1/30/2012,1648,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,39,Car,1600-1959,January,30 - 39
2,1,1/30/2012,2030,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,30,Car,2000-2359,January,30 - 39
1,1,1/30/2012,1830,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,26,Taxi/Private hire car,1600-1959,January,20 - 29
2,1,1/31/2012,1125,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,43,Car,800-1159,January,40 - 49
2,1,1/31/2012,1650,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,21,Pedal cycle,1600-1959,January,20 - 29
3,2,1/31/2012,1610,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,87,Car,1600-1959,January,80- 89
3,2,1/31/2012,1610,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,31,Car,1600-1959,January,30 - 39
2,1,1/31/2012,1000,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Car,800-1159,January,20 - 29
3,1,1/31/2012,920,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,32,Car,800-1159,January,30 - 39
2,2,2/1/2012,850,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,47,Car,800-1159,February,40 - 49
2,2,2/1/2012,850,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,4,Taxi/Private hire car,800-1159,February,0 - 9
2,1,2/1/2012,855,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,26,Car,800-1159,February,20 - 29
