Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,Time (Intervals),Date (Intervals),Age (Intervals)
5,9,6/23/2012,2315,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,30,Car,2000-2359,June,30 - 39
5,9,6/23/2012,2315,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,24,Car,2000-2359,June,20 - 29
5,9,6/23/2012,2315,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,7,Car,2000-2359,June,0 - 9
5,9,6/23/2012,2315,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,30,Car,2000-2359,June,30 - 39
5,9,6/23/2012,2315,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Serious,Female,2,Car,2000-2359,June,0 - 9
5,9,6/23/2012,2315,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,10,Car,2000-2359,June,10 - 19
5,9,6/23/2012,2315,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,18,Car,2000-2359,June,10 - 19
5,9,6/23/2012,2315,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,22,Car,2000-2359,June,20 - 29
3,2,6/23/2012,2338,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Fatal,Male,49,Taxi/Private hire car,2000-2359,June,40 - 49
3,2,6/23/2012,2338,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,23,Car,2000-2359,June,20 - 29
1,1,6/23/2012,1253,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,78,Bus or coach (17 or more passenger seats),1200-1559,June,70 - 79
2,1,6/24/2012,510,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,31,Car,400-759,June,30 - 39
1,1,6/24/2012,1820,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,18,Taxi/Private hire car,1600-1959,June,10 - 19
1,1,6/25/2012,710,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,42,Car,400-759,June,40 - 49
2,1,6/25/2012,850,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,31,Pedal cycle,800-1159,June,30 - 39
1,1,6/25/2012,936,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,44,Bus or coach (17 or more passenger seats),800-1159,June,40 - 49
2,1,6/25/2012,1300,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,48,Taxi/Private hire car,1200-1559,June,40 - 49
2,1,6/25/2012,1700,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,31,Pedal cycle,1600-1959,June,30 - 39
1,1,6/25/2012,1700,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Female,13,Car,1600-1959,June,10 - 19
2,2,6/26/2012,812,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,60,Car,800-1159,June,60 - 69
2,2,6/26/2012,812,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,54,Car,800-1159,June,50 - 59
1,1,6/26/2012,825,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car,800-1159,June,10 - 19
2,1,6/26/2012,1130,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,39,Car,800-1159,June,30 - 39
2,1,6/26/2012,1446,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,Pedal cycle,1200-1559,June,30 - 39
2,1,6/26/2012,2032,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,23,M/cycle 50cc and under,2000-2359,June,20 - 29
2,1,6/26/2012,1145,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,30,Car,800-1159,June,30 - 39
2,1,6/26/2012,1730,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,43,Pedal cycle,1600-1959,June,40 - 49
2,1,6/27/2012,713,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,33,Taxi/Private hire car,400-759,June,30 - 39
2,3,6/27/2012,1045,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,49,Goods vehicle 3.5 tonnes mgw and under,800-1159,June,40 - 49
2,3,6/27/2012,1045,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,88,Goods vehicle 3.5 tonnes mgw and under,800-1159,June,80- 89
2,3,6/27/2012,1045,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,71,Goods vehicle 3.5 tonnes mgw and under,800-1159,June,70 - 79
1,1,6/27/2012,1007,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,51,Bus or coach (17 or more passenger seats),800-1159,June,50 - 59
2,2,6/27/2012,1705,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,28,Car,1600-1959,June,20 - 29
2,2,6/27/2012,1705,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,54,Car,1600-1959,June,50 - 59
2,1,6/27/2012,1650,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,16,Pedal cycle,1600-1959,June,10 - 19
2,1,6/27/2012,1515,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,43,Car,1200-1559,June,40 - 49
2,2,6/28/2012,910,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,33,Car,800-1159,June,30 - 39
2,2,6/28/2012,910,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,37,Car,800-1159,June,30 - 39
2,1,6/28/2012,1200,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,33,Car,1200-1559,June,30 - 39
2,1,6/28/2012,1527,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Car,1200-1559,June,20 - 29
2,2,6/28/2012,1945,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,36,Car,1600-1959,June,30 - 39
2,2,6/28/2012,1945,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,51,Car,1600-1959,June,50 - 59
2,2,6/29/2012,1355,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,60,Car,1200-1559,June,60 - 69
2,2,6/29/2012,1355,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,21,Car,1200-1559,June,20 - 29
2,1,6/29/2012,1530,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,72,Car,1200-1559,June,70 - 79
2,3,6/30/2012,1443,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Car,1200-1559,June,30 - 39
2,3,6/30/2012,1443,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,35,Car,1200-1559,June,30 - 39
2,3,6/30/2012,1443,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,29,Car,1200-1559,June,20 - 29
2,1,6/30/2012,2045,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,35,Car,2000-2359,June,30 - 39
2,1,7/1/2012,1440,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,29,Car,1200-1559,July ,20 - 29
1,1,7/1/2012,1105,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,3,Bus or coach (17 or more passenger seats),800-1159,July ,0 - 9
1,1,7/1/2012,1700,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,51,Motorcycle over 500cc,1600-1959,July ,50 - 59
2,3,7/1/2012,1712,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,32,Car,1600-1959,July ,30 - 39
2,3,7/1/2012,1712,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,54,Car,1600-1959,July ,50 - 59
2,3,7/1/2012,1712,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,44,Car,1600-1959,July ,40 - 49
2,2,7/1/2012,1625,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,9,Pedal cycle,1600-1959,July ,0 - 9
2,2,7/1/2012,1625,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Car,1600-1959,July ,20 - 29
2,3,7/1/2012,1743,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,18,Goods vehicle 3.5 tonnes mgw and under,1600-1959,July ,10 - 19
2,3,7/1/2012,1743,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,61,Car,1600-1959,July ,60 - 69
2,3,7/1/2012,1743,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,54,Car,1600-1959,July ,50 - 59
2,3,7/1/2012,1930,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,23,Car,1600-1959,July ,20 - 29
2,3,7/1/2012,1930,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,35,Car,1600-1959,July ,30 - 39
2,3,7/1/2012,1930,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,21,Car,1600-1959,July ,20 - 29
2,2,7/1/2012,1600,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Car,1600-1959,July ,30 - 39
2,2,7/1/2012,1600,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,32,Car,1600-1959,July ,30 - 39
1,1,7/2/2012,1050,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,73,Car,800-1159,July ,70 - 79
1,1,7/2/2012,1501,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,70,Bus or coach (17 or more passenger seats),1200-1559,July ,70 - 79
3,1,7/2/2012,1620,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,40,Car,1600-1959,July ,40 - 49
2,1,7/2/2012,1626,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,33,Pedal cycle,1600-1959,July ,30 - 39
2,1,7/2/2012,1815,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,46,Pedal cycle,1600-1959,July ,40 - 49
2,1,7/2/2012,1143,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Pedal cycle,800-1159,July ,20 - 29
2,1,7/2/2012,1322,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,17,Other Vehicle,1200-1559,July ,10 - 19
2,1,7/2/2012,115,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,42,Other Vehicle,0-359,July ,40 - 49
1,1,7/3/2012,842,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,66,Car,800-1159,July ,60 - 69
1,3,7/3/2012,1040,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,24,Bus or coach (17 or more passenger seats),800-1159,July ,20 - 29
1,3,7/3/2012,1040,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,67,Bus or coach (17 or more passenger seats),800-1159,July ,60 - 69
1,3,7/3/2012,1040,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,85,Bus or coach (17 or more passenger seats),800-1159,July ,80- 89
4,1,7/3/2012,2220,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,21,Car,2000-2359,July ,20 - 29
2,1,7/3/2012,1736,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,34,Pedal cycle,1600-1959,July ,30 - 39
2,1,7/3/2012,1354,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car,1200-1559,July ,20 - 29
3,1,7/3/2012,1700,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,49,Car,1600-1959,July ,40 - 49
2,1,7/3/2012,1055,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Car,800-1159,July ,20 - 29
2,1,7/4/2012,640,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,21,Car,400-759,July ,20 - 29
1,1,7/4/2012,555,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Fatal,Male,32,Car,400-759,July ,30 - 39
2,1,7/4/2012,810,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,42,Car,800-1159,July ,40 - 49
2,2,7/4/2012,800,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,31,Car,800-1159,July ,30 - 39
2,2,7/4/2012,800,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,26,Car,800-1159,July ,20 - 29
2,1,7/4/2012,955,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Car,800-1159,July ,30 - 39
1,1,7/4/2012,1050,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,18,Car,800-1159,July ,10 - 19
1,2,7/4/2012,1630,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,38,Motorcycle over 50cc and up to 125cc,1600-1959,July ,30 - 39
1,2,7/4/2012,1630,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,4,Motorcycle over 50cc and up to 125cc,1600-1959,July ,0 - 9
2,1,7/5/2012,840,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,29,M/cycle 50cc and under,800-1159,July ,20 - 29
3,1,7/5/2012,753,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,26,Pedal cycle,400-759,July ,20 - 29
1,1,7/5/2012,840,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Male,12,Car,800-1159,July ,10 - 19
1,2,7/5/2012,1218,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,3,Bus or coach (17 or more passenger seats),1200-1559,July ,0 - 9
1,2,7/5/2012,1218,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,42,Bus or coach (17 or more passenger seats),1200-1559,July ,40 - 49
1,2,7/6/2012,1239,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,45,Car,1200-1559,July ,40 - 49
1,2,7/6/2012,1239,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,42,Car,1200-1559,July ,40 - 49
1,1,7/6/2012,1505,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,16,Car,1200-1559,July ,10 - 19
1,1,7/6/2012,1600,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Bus or coach (17 or more passenger seats),1600-1959,July ,10 - 19
1,1,7/6/2012,1600,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,11,Bus or coach (17 or more passenger seats),1600-1959,July ,10 - 19
1,1,7/6/2012,1510,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,15,Car,1200-1559,July ,10 - 19
2,1,7/6/2012,845,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,62,Taxi/Private hire car,800-1159,July ,60 - 69
3,2,7/7/2012,30,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,46,Car,0-359,July ,40 - 49
3,2,7/7/2012,30,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,27,Bus or coach (17 or more passenger seats),0-359,July ,20 - 29
2,1,7/7/2012,850,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,67,Car,800-1159,July ,60 - 69
1,1,7/7/2012,1335,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,85,Bus or coach (17 or more passenger seats),1200-1559,July ,80- 89
1,1,7/7/2012,1555,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,3,Car,1200-1559,July ,0 - 9
2,1,7/7/2012,1635,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,38,Car,1600-1959,July ,30 - 39
2,1,7/7/2012,1642,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,23,Car,1600-1959,July ,20 - 29
1,1,7/7/2012,1936,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Pedestrian,Slight,Male,26,Car,1600-1959,July ,20 - 29
1,1,7/7/2012,1950,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Pedestrian,Slight,Male,69,Car,1600-1959,July ,60 - 69
2,2,7/8/2012,34,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,19,Car,0-359,July ,10 - 19
2,2,7/8/2012,34,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car,0-359,July ,20 - 29
2,2,7/8/2012,247,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,20,Taxi/Private hire car,0-359,July ,20 - 29
2,2,7/8/2012,247,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,26,Taxi/Private hire car,0-359,July ,20 - 29
2,1,7/8/2012,1355,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,37,Car,1200-1559,July ,30 - 39
2,1,7/8/2012,1735,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,43,Car,1600-1959,July ,40 - 49
1,1,7/9/2012,815,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,13,Car,800-1159,July ,10 - 19
2,1,7/9/2012,1701,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,33,Pedal cycle,1600-1959,July ,30 - 39
2,1,7/10/2012,808,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,39,Pedal cycle,800-1159,July ,30 - 39
2,3,7/10/2012,1800,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Driver,Slight,Female,21,Car,1600-1959,July ,20 - 29
2,3,7/10/2012,1800,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Passenger,Slight,Female,17,Car,1600-1959,July ,10 - 19
2,3,7/10/2012,1800,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Passenger,Slight,Female,19,Car,1600-1959,July ,10 - 19
2,1,7/11/2012,720,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,36,Pedal cycle,400-759,July ,30 - 39
2,1,7/11/2012,1740,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,9,Pedal cycle,1600-1959,July ,0 - 9
2,1,7/11/2012,2020,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,7,Pedal cycle,2000-2359,July ,0 - 9
2,1,7/12/2012,631,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,33,Pedal cycle,400-759,July ,30 - 39
2,1,7/12/2012,725,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,58,Pedal cycle,400-759,July ,50 - 59
3,1,7/12/2012,1100,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,32,Motorcycle over 125cc and up to 500cc,800-1159,July ,30 - 39
1,1,7/12/2012,1320,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Bus or coach (17 or more passenger seats),1200-1559,July ,20 - 29
2,2,7/12/2012,1555,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Car,1200-1559,July ,20 - 29
2,2,7/12/2012,1555,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car,1200-1559,July ,30 - 39
2,1,7/12/2012,2205,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,18,Motorcycle over 50cc and up to 125cc,2000-2359,July ,10 - 19
2,1,7/12/2012,1800,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,20,Car,1600-1959,July ,20 - 29
3,2,7/13/2012,1423,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,38,Car,1200-1559,July ,30 - 39
3,2,7/13/2012,1423,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car,1200-1559,July ,20 - 29
2,1,7/13/2012,1820,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Female,58,Car,1600-1959,July ,50 - 59
2,1,7/13/2012,1845,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,17,Motorcycle over 50cc and up to 125cc,1600-1959,July ,10 - 19
2,1,7/13/2012,830,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,57,Car,800-1159,July ,50 - 59
1,1,7/13/2012,125,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,27,Car,0-359,July ,20 - 29
2,4,7/14/2012,35,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,43,Car,0-359,July ,40 - 49
2,4,7/14/2012,35,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,36,Car,0-359,July ,30 - 39
2,4,7/14/2012,35,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,40,Car,0-359,July ,40 - 49
2,4,7/14/2012,35,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,35,Car,0-359,July ,30 - 39
1,1,7/14/2012,1040,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,82,Bus or coach (17 or more passenger seats),800-1159,July ,80- 89
1,1,7/14/2012,1731,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,15,Car,1600-1959,July ,10 - 19
2,1,7/14/2012,1750,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,19,Car,1600-1959,July ,10 - 19
2,2,7/14/2012,1357,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,92,Other Vehicle,1200-1559,July ,90 - 99
2,2,7/14/2012,1357,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,70,Car,1200-1559,July ,70 - 79
2,3,7/14/2012,1656,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,16,Car,1600-1959,July ,10 - 19
2,3,7/14/2012,1656,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,35,Car,1600-1959,July ,30 - 39
2,3,7/14/2012,1656,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,31,Car,1600-1959,July ,30 - 39
1,1,7/15/2012,545,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,50,Car,400-759,July ,50 - 59
2,3,7/15/2012,1313,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,29,Car,1200-1559,July ,20 - 29
2,3,7/15/2012,1313,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car,1200-1559,July ,20 - 29
2,3,7/15/2012,1313,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,24,Car,1200-1559,July ,20 - 29
3,1,7/15/2012,1245,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,Car,1200-1559,July ,20 - 29
2,1,7/15/2012,1420,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,17,Motorcycle over 500cc,1200-1559,July ,10 - 19
2,2,7/15/2012,2200,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,37,Car,2000-2359,July ,30 - 39
2,2,7/15/2012,2200,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,46,Car,2000-2359,July ,40 - 49
2,1,7/15/2012,1635,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,7,Pedal cycle,1600-1959,July ,0 - 9
1,1,7/16/2012,625,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,24,Car,400-759,July ,20 - 29
3,3,7/16/2012,840,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car,800-1159,July ,20 - 29
3,3,7/16/2012,840,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,35,Car,800-1159,July ,30 - 39
3,3,7/16/2012,840,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,38,Car,800-1159,July ,30 - 39
2,1,7/16/2012,915,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,67,Car,800-1159,July ,60 - 69
1,1,7/16/2012,2041,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,37,Bus or coach (17 or more passenger seats),2000-2359,July ,30 - 39
1,1,7/17/2012,755,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,12,Bus or coach (17 or more passenger seats),400-759,July ,10 - 19
3,2,7/17/2012,1915,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Driver,Slight,Female,26,Car,1600-1959,July ,20 - 29
3,2,7/17/2012,1915,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Passenger,Slight,Female,33,Car,1600-1959,July ,30 - 39
2,1,7/17/2012,1740,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,23,Car,1600-1959,July ,20 - 29
2,3,7/17/2012,2010,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,28,Car,2000-2359,July ,20 - 29
2,3,7/17/2012,2010,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,24,Car,2000-2359,July ,20 - 29
2,3,7/17/2012,2010,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,20,Car,2000-2359,July ,20 - 29
2,4,7/17/2012,815,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,40,Car,800-1159,July ,40 - 49
2,4,7/17/2012,815,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,50,Car,800-1159,July ,50 - 59
2,4,7/17/2012,815,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,8,Car,800-1159,July ,0 - 9
2,4,7/17/2012,815,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,6,Car,800-1159,July ,0 - 9
1,1,7/17/2012,1800,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,9,Car,1600-1959,July ,0 - 9
2,1,7/18/2012,1230,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,Car,1200-1559,July ,30 - 39
1,1,7/18/2012,2005,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,26,Car,2000-2359,July ,20 - 29
2,3,7/18/2012,830,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,27,Car,800-1159,July ,20 - 29
2,3,7/18/2012,830,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,57,Bus or coach (17 or more passenger seats),800-1159,July ,50 - 59
2,3,7/18/2012,830,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,Bus or coach (17 or more passenger seats),800-1159,July ,10 - 19
2,1,7/18/2012,1930,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,22,Car,1600-1959,July ,20 - 29
1,1,7/19/2012,930,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,76,Bus or coach (17 or more passenger seats),800-1159,July ,70 - 79
1,1,7/19/2012,1745,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,12,Car,1600-1959,July ,10 - 19
2,1,7/19/2012,1700,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,48,Pedal cycle,1600-1959,July ,40 - 49
2,1,7/20/2012,740,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,56,Pedal cycle,400-759,July ,50 - 59
2,1,7/20/2012,2138,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,40,Motorcycle over 500cc,2000-2359,July ,40 - 49
